"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2018","0.9988","0.9987","0.9995","0.9977","267.78K","0.01%"
"06/07/2018","0.9987","0.9972","1.0001","0.9962","1.50M","0.15%"
"06/06/2018","0.9972","0.9993","1.0000","0.9951","1.34M","-0.21%"
"06/05/2018","0.9993","0.9988","1.0000","0.9970","1.14M","0.05%"
"06/04/2018","0.9988","0.9998","1.0000","0.9951","807.81K","-0.10%"
"06/03/2018","0.9998","0.9999","1.0008","0.9981","1.21M","-0.01%"
"06/02/2018","0.9999","0.9987","0.9999","0.9954","1.98M","0.12%"
"06/01/2018","0.9987","0.9987","0.9997","0.9983","375.22K","0.00%"
"05/31/2018","0.9987","0.9987","1.0000","0.9977","524.43K","0.00%"
"05/30/2018","0.9987","0.9983","1.0019","0.9951","1.81M","0.04%"
"05/29/2018","0.9983","0.9999","1.0020","0.9963","1.61M","-0.16%"
"05/28/2018","0.9999","0.9983","1.0006","0.9980","693.44K","0.16%"
"05/27/2018","0.9983","0.9989","1.0000","0.9983","389.14K","-0.06%"
"05/26/2018","0.9989","0.9998","1.0010","0.9988","986.74K","-0.09%"
"05/25/2018","0.9998","0.9996","1.0007","0.9982","955.80K","0.02%"
"05/24/2018","0.9996","0.9998","1.0009","0.9905","1.21M","-0.02%"
"05/23/2018","0.9998","0.9988","1.0010","0.9950","1.30M","0.10%"
"05/22/2018","0.9988","0.9983","1.0000","0.9900","1.86M","0.05%"
"05/21/2018","0.9983","1.0002","1.0020","0.9968","0.22K","-0.19%"
"05/20/2018","1.0002","0.9998","1.0014","0.9980","408.07K","0.04%"
"05/19/2018","0.9998","0.9979","1.0000","0.9979","981.04K","0.19%"
"05/18/2018","0.9979","1.0007","1.0020","0.9942","2.14M","-0.28%"
"05/17/2018","1.0007","1.0011","1.0012","0.9998","809.99K","-0.04%"
"05/16/2018","1.0011","1.0000","1.0049","0.9994","1.57M","0.11%"
"05/15/2018","1.0000","0.9999","1.0003","0.9995","1.45M","0.01%"
"05/14/2018","0.9999","1.0000","1.0002","0.9991","906.01K","-0.01%"
"05/13/2018","1.0000","1.0001","1.0020","0.9991","507.50K","-0.01%"
"05/12/2018","1.0001","0.9992","1.0007","0.9990","1.08M","0.09%"
"05/11/2018","0.9992","0.9990","1.0007","0.9990","1.73M","0.02%"
"05/10/2018","0.9990","1.0000","1.0007","0.9990","5.78M","-0.10%"
"05/09/2018","1.0000","1.0001","1.0003","0.9990","3.58M","-0.01%"
"05/08/2018","1.0001","0.9990","1.0012","0.9956","5.91M","0.11%"
"05/07/2018","0.9990","0.9937","1.0000","0.9890","1.99M","0.53%"
"05/06/2018","0.9937","0.9930","0.9992","0.9890","1.09M","0.07%"
"05/05/2018","0.9930","0.9982","0.9999","0.9922","1.66M","-0.52%"
"05/04/2018","0.9982","0.9965","1.0002","0.9951","4.59M","0.17%"
"05/03/2018","0.9965","0.9996","0.9999","0.9939","3.55M","-0.31%"
"05/02/2018","0.9996","1.0010","1.0020","0.9996","2.37M","-0.14%"
"05/01/2018","1.0010","1.0002","1.0041","0.9998","1.74M","0.08%"
"04/30/2018","1.0002","1.0010","1.0046","0.9998","1.66M","-0.08%"
"04/29/2018","1.0010","1.0005","1.0030","0.9991","1.93M","0.05%"
"04/28/2018","1.0005","1.0009","1.0015","1.0005","1.63M","-0.04%"
"04/27/2018","1.0009","1.0004","1.0043","0.9990","1.89M","0.05%"
"04/26/2018","1.0004","1.0005","1.0070","1.0001","3.44M","-0.01%"
"04/25/2018","1.0005","1.0018","1.0044","1.0001","3.52M","-0.12%"
"04/24/2018","1.0017","1.0023","1.0043","1.0000","0.07K","-0.06%"
"04/23/2018","1.0023","1.0034","1.0044","1.0005","712.70K","-0.11%"
"04/22/2018","1.0034","1.0004","1.0045","1.0001","667.31K","0.30%"
"04/21/2018","1.0004","1.0024","1.0030","1.0001","898.91K","-0.20%"
"04/20/2018","1.0024","0.9998","1.0028","0.9997","1.56M","0.26%"
"04/19/2018","0.9998","0.9996","1.0008","0.9990","593.48K","0.02%"
